[General]
Name|Patrick
15|Un verre ? Ce n'est pas ce que je veux là, tout de suite, maintenant. Je veux une photo de ses seins.
16|Arf, c'est pas faux. Les gens me prennent pour un alcoolique, mais les gens ne le disent qu'aux MEILLEURS des ivrognes. Ils sont jaloux de la façon dont je me comporte quand je suis bourré, rappel toi la dernière fois qu'on s'est vu chez Madison. Bref, merci pour ce cadeau.
17|J'ai une petite bite et je n'en ai pas honte. Ce n'est pas un monstre, mais elle fait bien l'affaire. Je le sais parce que ce n'est pas la taille qui compte, c'est la manière de s'en servir... enfin c'est ce qu'elles m'ont toutes disent... Je crois que je devrais m'allonger... 
18|Hum, qu'est-ce qui s'est passé ? Brittney ? Qu'est-ce que... Attends, toutes ces notifications... C'est quoi ce bordel ? Merde !
19|Les photos sont téléchargées. J'espère que la personne présente sur ces photos est prête pour les feux de la rampe.
20|Pas besoin d'être aussi futé que moi pour voir que tu essayes de m'entuber. Démerde-toi tout seul.
21|Bon, J'en ai reçu un peu sur moi, mais comme je le dis toujours, nous sommes juste à deux personnes à la recherche du plaisir, rependant nos semences ici et là. Rien de bien grave, J'ai juste vu ton outil à l'oeuvre, c'est tout.
22|Merde, je n'en sais rien, moi. Donne-lui une fleur ou un truc du style. Ou alors une vidéo de toi qui surf dans un rouleau. Les gonzesses adorent les vidéos de surfeurs.
23|Si c'est pour une bonne cause, alors aucun problème. Tu devrais pouvoir trouver des vidéos de fous sur mon téléphone. Montre-les à Brittney. Je parie que ça va la remettre illico dans l'ambiance... Merde, ça me fait penser que je devrais peut-être changer mes techniques de dragues et utiliser mes talents pour courtiser la gente féminine. Nan, trop compliqué.
24|Merde alors ! Je n'arrive pas à croire que Brittney ait invité un mec de la soirée de Madison chez elle. Elle a même mis une musique romantique. Je tente le tout pour le tout : je vais essayer de taper la squatte, et on verra bien ce qu'il arrivera ensuite...
25|Oh non. L'histoire ne s'arrête pas là. J'ai autre chose en vue... ou plutôt quelqu'un d'autre, devrais-je dire, qui va m'aider à restaurer le message du site comme il aurait dû l'être. Mais tu as raison, ce site m'a déjà rendu millionnaire... De toute façon, merci pour m'avoir aidé.
26|Comment l'as-tu découvert ? Je préfère que personne ne soit au courant. Je préfère quand les gens m’apprécient pour ce que je suis, tu comprends ? Tiens, je double ta prime pour que tu gardes ce secret pour moi. Affaire conclue ?

[Responses]
65f32010-8ae6-4200-a510-d6e918f8e75a|Patrick, je sais que c'est toi. Est-ce un vendredi soir normal pour toi ?
e5cc1c43-87a1-4585-b57f-03ba8f4906dd|Bon, j'ai besoin de faire appel à l'une des faveurs que tu me dois.
33aa268a-cb12-450e-b7e5-638254bdfa77|Quel moment de fierté cela doit être pour toi, Patrick.
770d7f65-7293-4861-b1ac-51f2d090a167|Woah, tu es complètement bourré. Tu devrais t'assoir un peu.
dce4d85d-b899-4470-a2cc-144598cf2c27|Brittney commence à m'ignorer. Tu as une idée pour que je puisse la reconquérir ?
0964d020-6a38-44d8-8901-54b6e2b98b55|Non, pas encore.
d16b94f2-cb77-4e4a-9579-9a149b2902c0|Un petit oiseau m'a dit que tu es plein aux as. J'ai l'impression de m'être fait arnaquer.
b1ff8136-8ba8-49cd-abcc-7eb8d63b1c38|Quel site web ?
a10702ea-ea61-4f48-bfc9-312188a92ff5|Je pense que tu es probablement Lucifer.
a430c031-3521-4013-8275-40adf8ee279d|L'alcool est sous clé et le dîner semble venir tout droit de la Planète X.
acd0751b-013b-493a-8b20-84294bf3267f|Ouais ! Quand mon chien, Oreo, s'est enfui, quelqu'un de ce site web m'a aidé à le trouver. J'adore vraiment mon Oreo. 
0efb13b4-5e5b-476a-a91d-25e9c5874d2a|Je ne peux pas dire que je suis trop familier avec les sites web de type voyeur. 
35df90f3-26e5-4766-87d3-709eceb122e5|Ok, Tu as attiré ma curiosité. Pourquoi est-ce que tu es ici ?
b2ce185d-9309-47f1-b97f-6b8c534d0461|J'en ai entendu assez. Tu dois décamper maintenant.
6728eb20-d32d-42f2-9668-9fbf8937e820|Nan mec, tu es vraiment le pire. Casse-toi tout de suite de là.
f6794c23-ed37-4c0c-9fbb-bcc08bc0a8fe|Eh bien, je suis déjà damné... Quel est ton offre ?
e0a9009a-9a28-4603-b9a9-08ddaf9aeda8|Nan mec, tu es vraiment le pire. Barre-toi tout de suite de là.
a401735e-d30f-4e78-9b2d-e5b1feb19cd8|Que veux-tu dire par là ?
a5e25ec3-ecf1-4e98-b454-581db41ece04|A la prochaine, p'tite bite. 
6a67e2f4-f197-425e-a3e0-95ca525bde56|Oui, bien "Neighborhoodwatch.com" n'est pas vraiment sexy ou pertinent.
2b36b06b-ca12-407e-a615-a917df507b43|Tu veux que je prenne des photos intimes de Brittney à son insu ? 
8e439014-59d9-4183-a83b-6e925f720d7a|Nan, c'en est trop. Barre-toi de là.
212cdf15-206c-4c16-b5cc-461487a49948|Je ne sais pas. Qu'est-ce que tu me propose exactement ?
8fa6fe10-9428-43eb-bf46-74dd38a77a1b|Très bien, j'en suis.
0db185f8-d3ad-427a-aa1f-9420ed5f5481|Sans moi, désolé. Toute cette histoire me donne l'impression d'être un vulgaire connard. Casse-toi.
cb7b7df1-90b4-4b21-a0b9-40e46a679dd2|Ca marche pour moi ! 
904cc0f6-9983-4b62-bc39-75f6b604e918|Disons que je n'ai pas envie de manger le plat que m'a cuisiné Brittney...
d127670c-37c5-45c3-b850-302b8678d13a|As-tu vu la clé du bar ? J'aurais besoin d'un verre ou deux....
6a665d3d-7809-4801-9136-ede4e5aecce1|Et merde, tant pis. 
d4831c7e-39fa-43c0-beed-756a83a6f1e9|C'est pas faux... je vais regarder un peu partout. 
4aca59b6-7145-4bcc-91ef-3ee38aa0a805|Tu es un vraiment un cas à part. 
187f2750-5b24-49f4-9195-d37c45e828cb|Ca doit être fatigant d'attendre là, à espionner les gens comme ça. Je me suis dit que tu méritais bien un petit remontant.
9c8e871f-6702-4398-a055-430384872316|A bientôt.
59957b64-e54a-4b01-98db-499905634cb0|Va t'allonger. Je vais te laisser tranquille.
c933b42c-4e13-438a-8694-548bb0321b9d|Haha, je t'ai eu, salopard !
b4529ddf-65fb-42f7-be3e-8fb339715a28|Douce, douce, ironie du sort.
74acbc5f-a835-41eb-b6af-cb673b4f09b8|Elle va bien.
3cd5e8f7-d498-4107-a978-ecd1b0883721|Je pensais vraiment que ça te ferait fuir.
23cc3815-870a-4baa-a147-04c1c59b7929|Wow, tu es vraiment un cas à part.
49280422-7988-4a1a-a3fa-cb8c51ccafb8|Donne-moi une des vidéos de toi en train de surfer. Une où on te distingue assez mal, pour qu'elle puisse croire que c'est moi.
33c12a89-5016-4f54-b35e-c79b2ef91d13|La vidéo est sur le téléphone. Nickel, merci.
81b9ff1f-b2ed-4bf3-86a0-d5261f8a5b8b|Quoi ? Qui a dit ça ?
3fd5a814-0cf7-4b8f-8b86-52633381d309|*Fin de l'extrait*
ca5578f2-65a6-4eca-912b-fbd905806eb2|Bon, d'accord.

[Quests]
aee02592-638b-44b7-bcab-04b4472920b3|Esprit entreprenant
aee02592-638b-44b7-bcab-04b4472920b3Description|Vous entendez une voix à proximité. Trouvez la source.
31828dcf-4010-4d06-8d95-7eadcfaddaea|Aime ton prochain
31828dcf-4010-4d06-8d95-7eadcfaddaeaDescription|Patrick vous met face à un dilemme : Devez-vous ou non prendre des photos intimes de Brittney pour de l'argent ?

[Events]
6936f938-72b1-421d-8bf1-1529c15c9dde|Ils devraient m'appeler le "décampeur de pervers", je le dirai à Brittney plus tard, ça sera une surprise pour après le dîner.
e5905f56-5c86-41b4-86e6-78b720ec36b2|Il n'y a plus qu'à attendre que la boisson fasse effet !
f762acb9-3f44-4d52-b370-b05cf2bd5a22|Voyons voir comment cela va évoluer...
7f86bb1f-5f9b-43f8-8741-55e0bd43d8ee|Vous avez réussi à humilier Patrick sur son propre site internet. Et vous avez même réussi à conclure. Bien joué ! 

Game Over.
f045c356-dcb8-4f16-a99c-0907bb919f3d|Attends, Patrick est un millionnaire ? Et tout ce que j'obtiens, c'est seulement 5000 balles ? C'est de l'arnaque !
5c7f8ff4-b96a-4607-b0a7-5491d207e148|Cool ! J'ai déjà doublé mon gain... Si je décide réellement de continuer sur cette voie. Tel est la question.
08f0bf11-74b9-44d9-b7a2-eb4b763dd753|Je dois y réfléchir encore un peu. Je ferais mieux de me concentrer sur le dîner pour le moment.
d846bbd0-34a4-4839-8ab3-372abc350ee4|Je dois y réfléchir encore un peu. Je ferais mieux de ne pas en parler à Brittney pour le moment... voir même jamais en fait. 
8b007921-e722-47ad-9594-a6b5abfeea33|Le cliché parfait !
