[General]
Name|Brittney
18|En parlant de drôle de tête, je pense que je devrais aller me rafraîchir. Toute cette cuisine me fait suer comme une putain dans une église. Pardonne-moi mon langage familier, je suis fatiguée, c'est tout.
19|Oui, volontiers. C'est simple : Garde un oeil sur le four et assure-toi que la maison ne brûle pas. Tu penses pouvoir y arriver ?
20|Tu te débrouilleras comme un chef, j'en suis sûre. Ah, j'oubliais. Voici un passe-partout qui te permettra de te balader tranquillement dans la maison. Du moment que tu t'assures que ce qu'il y a dans le four ne crame pas, tu peux te promener dehors, t'assoir près du feu, bref, ce que tu veux. Par contre, si tu entends le four, jettes-y un oeil et préviens-moi.
20.1|Tu te débrouilleras comme un chef, j'en suis sûre. Ah, si tu as le temps, n'oublie pas de traquer notre petit invité surprise. Tu comprendras ce que je veux dire par "petit" quand tu le verras. Bon, j'y vais, je reviens vite !
20.2|Tu te débrouilleras comme un chef, j'en suis sûre. Ah, j'oubliais. Voici un passe-partout qui te permettra de te balader tranquillement dans la maison. Du moment que tu t'assures que ce qu'il y a dans le four ne crame pas, tu peux te promener dehors, t'assoir près du feu, bref, ce que tu veux. Par contre, si tu entends le four, jettes-y un oeil et préviens-moi. Bon, j'y vais, je reviens vite !
21|Fait vite, chéri.
22|Oh, non. J'ai mis beaucoup de coeur dans ce plat, et la seule façon que nous n'y goutions pas, c'est que ce soit vraiment immangeable.
23|Mais, mais, mais... Tu sens la même chose que moi ? Oh non, non, non ! Que dieu te damne, Dr. Mobus ! C'en est trop. On va commander.
23.1|*Crie depuis une autre pièce* Mais, mais, mais... Tu sens la même chose que moi ? Oh non, non, non ! Que dieu te damne, Dr. Mobus ! C'en est trop. On va commander.
24|Je suis juste désolée que tu ais dû subir tout ça pour rien. Prends mon téléphone et utilise Flash'n'Dash pour passer la commande. Je vais me débarrasser de cette parodie. 
25|Donc, quand j'étais dans la fosse, les mains enroulées autour de la gorge d'Alicia, à seulement quelques secondes de devenir la championne du Monde de Lutte dans la Boue, j'ai réalisé que je voulais vraiment devenir Pro. La lutte féminine est en plein essor, mais j'ai suffisamment confiance en moi pour rentrer sur le ring quand je suis sacrément torchée...
26|Mon dieu, c'est vraiment direct. Je ne peux pas dire que je suis fan... du moins, pour le moment. 
27|Mazette ! Gentil et mignon, ça c'est un pack complet. Je suis fan des packs complets.
28|*Crie depuis une autre pièce* Bonne nouvelle ! Je descends tout de suite.
29|Apparemment, ça à l'air plus digeste que je ne le pensais. Si je pleure, ça doit être à cause des oignons. Mais je ne me rappelle pas en avoir mis dans ce plat... Bon appétit !
29.1|Apparemment, ça à l'air plus digeste que je ne le pensais. Si je pleure, ça doit être à cause des oignons. Mais je ne me rappelle pas en avoir mis dans ce plat... Bon appétit !
29.2|*Crie depuis une autre pièce* Apparemment, ça à l'air plus digeste que je ne le pensais. Si je pleure, ça doit être à cause des oignons. Mais je ne me rappelle pas en avoir mis dans ce plat... Bon appétit !
30|Tu ne donnes pas l'impression d'y croire...
31|Eh, ne juge pas un livre juste par sa couverture ! Regarde-moi, je suis faite pour la lutte dans la boue. Ca doit être grâce à tout le maïs que je me suis enfilée en grandissant. 
32|Tu es bien mielleux. Qu'essayes-tu d'obtenir de ma part ?
33|C'est vraiment à quoi tu penses ? Dans ce cas, on est sur la même longueur d'onde. Rejoins-moi à l'étage, mon chou.
33.1|Honnêtement, je ne suis pas trop d'humeur vu la manière dont les choses se sont passées ce soir. Tu peux peut-être encore rattraper le coup, mais pour le moment, restons ici.
34|Oh mon dieu. Patrick est là ? Le garçon bizarre de la dernière soirée ? Viens avec moi, partons de sa zone d'éclaboussement.
34.1|Oh bon dieu. Patrick est là ? Le garçon bizarre de la dernière soirée ? Viens avec moi, partons de sa zone d'éclaboussement. Nous devons en parler.
34.2|Oh bon dieu. Tu l'as trouvé, hein ? Viens avec moi, partons de sa zone d'éclaboussement. Nous devons en parler.
35|Tu casses vraiment l'ambiance là. Parfois, les vrais gentlemans me manquent...
36|Donc Patrick est de retour, hein ? J'espère juste qu'il n'est pas perdu ou confus. De quoi avez-vous parlé ?
36.1|Donc cet imbécile de surfeur est de retour, hein ? De quoi avez-vous discuté ?
36.2|Je suis prête pour un verre, bébé. Trouve-moi cette clé.
36.3|Soit sérieux, bébé. L'alcool est la clé. Si je me souviens bien, Patrick a un petit faible pour le Whack Spaniels.
37|Quel salaud ! Et dire que je lui laissais le bénéfice à cause de ses capacités mentales... Donc tu as son téléphone, hein ? Il doit bien y avoir un moyen de retourner la situation.
38|Oui, je connais ce site, mais je ne savais pas qu'il appartenait à Patrick. Eh bien, s'il veut poster des photos dessus, que dirais-tu que ce soit lui le sujet des prochains ragots ? Quelques photos de lui, ivre comme pas possible, dans une situation bien compromettante ! Nous savons tous deux comment il se comporte quand il a trop bu.
39|Tu es un vrai soldat, tu sais ? Maintenant, reste plus qu'à le rendre ivre. J'ai une armoire pleine d'alcool. Il suffit juste de l'ouvrir et de lui donner ma bouteille de Whack Spaniels. Une fois qu'il sera bien imbibé, il devrait commencer à faire des conneries, comme lors de la dernière fête. C'est à ce moment-là qu'on agira.
40|Zut, tu as raison... Si seulement je pouvais me rappeler d'où je l'ai rangé... Tant pis, tu vas devoir fouiller partout. Elle doit bien trainer quelque part dans la maison.
41|Tu ne salues même pas la dame qui t'invite dans sa maison ? Ce n'est pas exactement la meilleure manière de commencer...
42|Haha ! Je ne pensais pas que ça puisse donner un tel résultat, même si Frank était là pour lui mettre le grappin dessus. Dépêche-toi, prends une photo de lui et télécharge-la sur Internet.
43|Tu es INCROYABLE. Mazette, je n'aurais pas pu rêver d'un meilleur partenaire. Tout ce châtiment, ça m'excite plus qu'un bon porno. Donnons à Patrick un dernier cadeau. Sort ta bite pour moi.
43.1|Oh, mon chéri, au début, j'ai cru que cette nuit nous... mais plus maintenant. Je pense que nous ferions mieux de rester amis, car tu vois, en fait, euh... t'es un peu trop con...
44|Oh, Patrick, ton pantalon est trempé. Est-ce que tu as eu un petit accident ? Mon dieu, ton téléphone n'arrête pas de sonner. Beaucoup de gens doivent déjà essayer de te joindre pour te donner des conseils. Médite aussi longtemps que tu veux là-dessus. J'ai déjà tout ce dont j'ai besoin.
45|Je dois avouer que c'était vraiment un réel plaisir cette soirée. Tu as été génial. Je devrais peut-être te retourner l'ascenseur, non ?
46|Eh bien, si c'est ce que tu veux...
47|Ben merde alors ! Reviens ici tout de suite, petite merde !
48|Chéri, tu viens de franchir la ligne...
49|*Rigole* Oh mon dieu, tu me chatouilles. Mes mamelons durcissent à vue d'oeil.
50|Un homme comme je les aime. 
50.1|Bonne idée, Mes genoux commençaient à bruler.
51|Euh, Ok. Mais prends pas 36 photos de moi. Je ne suis pas comme Rachael.
52|Waouh, ça c'est vraiment ce que j'appelle une partie de jambes en l'air. Tu es vraiment un bon coup. Je vais regarder un truc en vitesse sur mon téléphone. Prépare-toi pour le second tour. 
53|73 appels manqués... 400 sms... C'est quoi ce bordel ? Attends, mais... Putain, je rêve ! Tu as posté des photos de moi sur ce site odieux ? Tu sais très bien à quel point je suis timide ! Tu es vraiment couillu. Laisse-moi te faire une faveur en les supprimant.
53.1|73 appels manqués... 300 sms... C'est quoi ce bordel ? Attends, mais... Putain, je rêve ! Tu as posté des photos de moi sur ce site odieux ? Tu sais très bien à quel point je suis timide ! Tu es vraiment couillu. Laisse-moi te faire une faveur en les supprimant.
53.2|Tout a un prix. Une personne a publié sur Neighborhoodwatch.com qu'un truc énorme allait être mis en ligne ce soir. Mais tout ce que je vois, c'est une annonce pour des cours de tricot. Bref, peu importe. Revenons-en à nos moutons...
53.3|Le Dr. Mobus a aimé les photos que je lui ai envoyées. Celle de la nourriture, bien sûr. Et voilà comment on améliore ses notes ! Ce qui signifie que toi aussi, tu mérites quelque chose en retour.
53.4|En fait, j'ai prévenu le Dr. Mobus que le plat était un échec et il m'a répondu qu'il allait quand même m'aider, aussi longtemps que je ne dis rien à propos de son offre précédente. Et voilà comment on améliore ses notes ! Ce qui signifie que toi aussi, tu mérites quelque chose en retour.
54|Tu l'as fait ? *Rigole* Est-ce qu'il voulait se battre ? J'espère que tu ne lui as pas fait trop mal. Bref, célébrons, ça. Je n'avais pas trop envie de boire un coup, mais là, ça mérite bien un verre. Ouvre le bar pour moi.
55|Tout ce que je peux dire, c'est que j'ai retourné entièrement cette maison. J'ai cherché à l'étage, au rez-de-chaussée, bref partout. Cette clé n'est pas dans la maison.
56|Oh, et bien, je dirais probablement oui, mais d'abord, célébrons notre victoire ! Buvons un coup.
57|Tu es INCROYABLE. Allez, bois avec moi.
58|Mazette ! La dernière fois que j'ai bu du Whack Spaniels, c'était avec les autres lutteuses après une compet'. Nous nous sommes retrouvées toutes ensembles dans une pile géante à la fin de la nuit.
59|Ouais, une compète régionale. Ne fait pas style que tu n'en as jamais vu une. Personne ne peut voir un stade plein à craquer jusqu'à ce que des filles viennent lutter dans la boue.
60|Ha, ouais, pourquoi pas. Mais je t'aime trop pour te faire mal.
61|Bon, comme tu veux. *Bois* Reprends une gorgée et rejoins-moi dans le salon. Allonge-toi et je te montrerais quelques mouvements.
62|Bon... Quel mouvement te montrer ? Je pourrais tenter un direct sein droit... Ou un uppercut du postérieur... Ah non, j'ai trouvé : un blocage par mes lèvres inférieures ! Tu vas pouvoir gouter à ma victoire !
63|Oh non ! Comme mon coach me toujours dit, "Retourne la situation !"
64|Oh, je n'en peux plus. Tu ne voudrais pas m'enfourner ?
65|Ca, c'est mon genre de lutte. Reprends ton souffle avant le second round.
66|Oh que non. Inoffensif ou pas, je ne vais pas le laisser s'en tirer à si bon compte.
66.1|Je ne vais pas ce pauvre homme perdu et confus dans mon jardin. Dis-moi, qu'est-ce qu'il t'a dit ?
67|*Explose de rire* Je dois l'avouer, ce genre de blague fonctionne toujours avec moi. C'est probablement parce que j'ai grandi avec mes deux frères...
68|Je suis plutôt fière de moi... ce plat n'était pas si mauvais que ça. Même si je peux entendre ton ventre gargouiller d'ici.
68.1|Je suis plutôt fière de moi... ce plat n'était pas si mauvais que ça. Et en plus tu as l'air d'avoir apprécié, ça me touche beaucoup.
69|Pffff. Désolé, bébé. Mais ce genre de blague ne m'amuse pas du tout.
70|Soit sérieux 30 secondes. Tu ne crois pas que c'est un peu trop audacieux comme approche ? Range-moi ça.
70.1|Merde alors, ça c'est un homme qui prend l'initiative. Cependant, pas maintenant, chéri. Range-moi ça.
71|Eh bien, je dois dire, les femmes qui participent à de tels événements, elles sont toutes très belles... oh, je dis tout un tas de bêtises en ce moment... Je voulais dire que ce sont toutes des athlètes talentueuses, c'est ça.
72|Est-ce que tu peux... Foutre le camp tout de suite de chez moi ?
73|Fait ce que tu peux, je reste là, à repenser à toutes les rencards foireux que j'ai subis.
74|Le directeur de tournée de Willie Nelson... Puis le gars qui a inventé le Zune... Jared de Subway... Que de gens remarquable pour des rencards foireux... Et toi, qu'as-tu fait de remarquable ?
74.1|Qu'as-tu fait de remarquable ?
75|*Explose de rire* Vraiment ? C'est assez ringard... Mais tu as de la chance, j'adore les trucs ringards.
76|Il n'y a aucun doute. Je t'aime bien, même si tu as fait quelques écarts ce soir. Allons à l'étage.
77|Laisse-moi voir... Waouh, ce n'est pas mal en fait. J'aimerais beaucoup te voir à l'oeuvre.
78|Allons, tu n'as pas peur, n'est-ce pas ?
78.1|Oh bébé, c'est parti ! Dis-moi simplement ce que tu veux que je fasse.
79|Plus le temps de déblatérer. C'est plus le moment.
80|Ah merde... Cette connerie ne va même pas me rapporter de crédits supplémentaires... J'aurais peut-être mieux fait de lui envoyer les photos qu'il voulait...
81|Nous sommes sur le point de nous déchaîner et tu continues à dire des blagues ? Ferme-la.
81.1|Je crois à 100% que si quelqu'un peut le faire, ça serait bien toi.
82|Et maintenant ? Fait boire Patrick jusqu'à ce qu'il soit complètement bourré. Verse l'alcool directement dans sa gorge si besoin.
83|Pas moi, idiot. Donne-le à Patrick !
84|Je sais que je devrais t'aider à trouver cette clé vu qu'on est chez moi, mais je préfère vérifier que tu peux te montrer à la hauteur.
84.1|Tu l'as trouvée ? Bien joué ! Maintenant dépêche-toi d'ouvrir le bar, s'il te plait !
85|Attends, tu ne serais pas en train de prendre des photos ? Je n'aime pas trop ça.
86|Euh, est-ce que c'est ta définition d'avoir du bon temps ? Eh bien, tant mieux pour toi alors... Ecoute, j'ai une longue journée demain, donc on va s'arrêter là pour ce soir...

[Responses]
ee95d966-1f95-4ecf-9df3-0ca580f82599|Ah non ! Un peu plus tôt, il y avait un autre gars à la recherche d'un rencard. Je l'ai fait fuir.
7ff6bbde-6d62-4c04-bf87-09b2ebdd4d29|Oui. Et je comprends que ça peut paraître étrange. Je suis nerveux, ok ?
7c0a7453-7f7b-4edb-be4a-5146939344b8|J'étais en train de me préparer pour notre rencard en communiquant avec mon esprit animal...
2c549f9b-0681-4ba9-a93f-25107051021a|Ce lieu ne serait pas hanté, par hasard ? Peut-être par le fantôme d'un pervers lubrique qui pourrait être agacé par ma simple présence ?
0c65da2e-a2d2-4ed5-a9ef-4c7a73ca2a6b|Désolé, j'étais distrait par la vue. Je vais continuer à chercher, Brittney.
2a0fadf6-e1a2-4842-acd4-b0f1f5d5a332|Que dirais-tu de sauter tout de suite à la partie intéressante de cette nuit ? Tu sais, celle qui implique l'absence de pantalon...
f32e055c-7197-4f93-8669-fdc435b6e20f|J'ai une idée : dans le cas peu probable où cette bouffe est dégueulasse, on pourrait commander et se faire livrer à domicile ! 
617cf0be-cce1-42fc-8833-c9d8b928f8d5|Ok, je vais m'assurer que cette maison reste intacte.
c6afac2b-4357-4954-a3da-9818b49f76d2|Pas besoin de me le demander deux fois !
201f0d12-38ff-46db-b50b-0b13cea5f065|Pas besoin de me le demander deux fois !
81b37352-beda-4604-8e98-8f8e02e83ab6|Pas de problème. J'en profiterais pour visiter un peu.
93c6c81b-233b-4c70-a5b5-e417e24dcc21|Tu es absolument incroyable.
fc930a68-1271-442f-82fa-d0e80f170f15|Ok, compris.
47744c05-7ed2-40b8-bba9-e73451f40da9|Tu étais au courant ? Tu me semble bien calme pour quelqu'un qui a un voyeur sur le dos.
29d18b24-f4f5-44ff-97ca-d43d30aff1dc|Sur une échelle allant de 1 à 10 dans la démence, on doit atteindre facilement 11 là. 
bab25aa6-dce5-47e8-953b-07eab230ce6c|Tu cuisine quoi en fait ? Je sens comme une odeur de cramé.
5fd82fe4-c545-450e-808b-fa48afd1387a|Pas besoin de me le dire deux fois !
7424f3e5-6766-45af-af90-8a840e57cc48|Je suis à la fois effrayé et excité. Tu me fais vraiment un effet étrange. 
40fdc642-415b-414c-9db7-1f270b2db9b4|Je comprends. Je vais dégager ce mollusque de là.
1c83f949-c41a-4c37-9bf0-eb68b60adedb|Je n'aime pas trop regarder les bites des autres. Ca me rappelle trop les colonies de vacances.
18eedc96-6eb0-41f5-a0f5-10b6c2d89c57|Pas de problème pour moi non plus. En fait, ça me parait un bon plan, comme ça on va pouvoir revenir à nos moutons...
e9694bcc-66ab-4d56-9821-8d5ccb15018e|Un passe-partout ? Comme c'est étrange... 
3cfac806-a3f5-4f33-afdb-4d9b11eebd2f|Je savais que je n'aurais pas dû boire avant de venir !
68fed4c8-dbde-4156-84e6-5d93824d2740|Mais pourquoi est-ce sous clé ?
5560913f-026f-4cd7-bfb5-d13b32990d23|J'imagine très bien. Repose en paix, Oncle Jerry.
d43c7be5-40cc-4806-af9d-0ee3d5d8edba|Mais quel con !
7547501e-2bc2-4ca6-85cf-225faed4fad3|C'est une bonne affaire, sauf peut-être pour moi.
647a7e1f-fd3d-4ecc-80a9-2f97579e678f|Imagine-le en train de regarder des photos de toi... Imagine sa tête...
15d0cf77-e5db-4fc0-818e-67e60018e413|Est-ce que je peux faire quelque chose pour t'aider ?
bf19cd76-3adc-47a6-b545-d0031d260615|Attends, avant que tu y aille...
425f9814-b6e9-4671-9738-b23bf90bc1fc|Je pourrais peut-être t'aider à te rafraîchir ?
102d8617-4533-4a8b-804e-7d6281d2ad9d|Je suis né pour cela.
cb79979e-b8db-48ab-befb-f3a7e3482e38|Je ne sais pas...
d384d647-704f-49ef-81f1-b7cf4694b6e7|A tout de suite.
5103892f-71d0-4832-a1d8-ccdd5cd8fac9|Ce lieu n'est pas hanté, par hasard ? Peut-être par le fantôme d'un pervers lubrique qui pourrait être agacé par ma simple présence ? 
86cbcf2a-7600-4504-bf78-d3fc504b9e90|J'ai une idée : dans le cas peu probable où cette bouffe est dégueulasse, on pourrait commander et se faire livrer à domicile ! 
b20fe6d8-f819-4c4f-997c-e7b69ab2cbc3|Jason Bourne dit qu'il faut toujours savoir où sont situées les sorties. Donne-moi 5 secondes.
058ccb15-d079-4233-adce-6d28a48f26af|J'essaye toujours d'avoir accès à l'alcool !
81addda0-d5a9-4806-bd18-f9a1071f1f63|Hum...
e0322c99-9a3d-4420-9760-70bb58d6f45f|Pas de soucis, je suis juste emballé.
f33bf766-aefc-4af1-9b1c-9ff07d2af1eb|Quel dommage... Tu avais travaillé si durement...
dbb18a16-8a77-4c30-9cad-98b77b54c7e1|Eh bien, tout arrive pour une raison, n'est-ce pas ?
dfd5ccc6-e9d2-4b06-9d32-c069f3dd8125|Ne t'inquiète pas, je m'en occupe.
4fbba605-03cc-408a-b7a1-2b9bcab49af8|Il faut vraiment ne pas se fier aux apparences avec toi.
3ddde685-f058-44b8-af45-05816254844d|*Vous baillez* Très intéressant...
8ba97802-5009-4067-b06e-de483646a8e4|Et je suis sûr que l'histoire ne s'arrête pas là...
5413ee37-e169-40b1-9a9b-80c8e14b9339|Je suis désolé ! 
919b61e4-3297-4b29-95e1-c106d7ab01ca|Cool !
ab67eef1-5793-4d4c-ac1c-6bec13530c88|Ok, ça marche.
d5b91272-e0c7-46b8-ad3c-e61c4ebae805|Bon appétit à toi aussi ! 
2cd49876-145b-4996-9d19-63d2af5335ac|Oups.
2670ef16-d4cc-4869-8567-9925b3a689bb|Ouais, ça doit être ça. Le fait d'avoir mangé pleins de maïs, je veux dire.
4bc831a9-d3e5-417b-907b-1ca4b0b2f4ec|Je pense que nous devrions monter à l'étage, afin de continuer à nous amuser.
84a7d217-cd35-4468-9c68-0e44929d4e6f|Ne regarde pas, mais Patrick est dehors et il nous regarde en ce moment même.
2133bdf5-10a5-4c54-8d06-439f9d7103da|J'ai juste pété.
df13f592-6d4b-4fb1-836d-2537d21964a7|Ne regarde pas, mais Patrick est dehors. Il nous regarde en ce moment même.
3550a71b-dabe-4c70-a1b6-e278b1ba0b9a|J'ai une surprise pour toi. Quand je suis allé dans ton jardin, j'y ai trouvé Patrick et je lui ai botté les fesses jusqu'au trottoir.
58e264ad-c214-4c8e-b843-e343e762fe9a|J'ai une surprise pour toi : Patrick, le gars dont tu me parlais plus tôt ? Je l'ai trouvé et je lui ai botté les fesses jusqu'au trottoir.
0de855ed-4f25-4bbf-a455-b219a85a31a8|Pas de problème. Je suis comme les verrues génitales : il faut un peu de temps pour s'habituer.
b964ca06-6cc6-4428-8de3-5379b9693b8e|Désolé d'avoir laissé les choses déraper. Je trouverai un moyen de te remonter le moral, promis.
fe6653c9-bf09-466a-9838-bb5e7189b15f|Je peux le faire.
ce928ae5-7e3d-47dc-bf8f-878f3f9a5682|Je peux le faire.
cf41132f-8c58-4321-8f44-029665642fa3|Zone d'éclaboussement ? C'est ignoble.
bc870848-007e-4905-93dc-0f45be23ebdf|Euh, je voulais dire, "Est-ce que je peux faire quelque chose pour toi pendant que tu es partie ?"
ca79d647-3b54-4fc5-8a26-4cc78ce3cdd5|Donne-moi une autre chance...
23e3bbf0-928c-49e7-ad10-61c6da470565|Je ne pense pas que Patrick soit aussi stupide que tu ne le penses. Il veut que je prenne des photos de toi... Nue.
a4eebe1d-b155-408d-b7e1-b70a43cc352f|De tout et de rien... Il me semble assez inoffensif, vraiment. 
7aea6f62-9073-4eea-a878-dc0b86baae38|J'ai trouvé la clé. Allos libérer tout l'alcool.
f593d856-934d-47a8-8648-246585f61b3b|Tu n'aurais pas la moindre idée de l'endroit où tu aurais rangé cette clé ?
33b895c4-d617-436c-8874-cf28196bf255|Les photos vont être téléchargées sur un site web dont il est propriétaire. Tu connais son site ?
bfb25a5f-aa3b-4be6-8e31-c0f66ef66649|J'en ai marre de parler de lui. Revenons-en à notre soirée.
b9972437-75c9-4780-993b-835de8522af1|Mais carrément !
2e40d4d8-9ca9-4b12-b140-bea4ba3a6591|Je dirais plus partant pour qu'on l'oublie et qu'on en revienne à notre soirée.
adeb4776-0d55-471a-a65d-1af4990e2a54|Je m'en occupe.
1169a816-22f5-43b8-8e59-b2d1837529b7|Mais la clé du bar est toujours égarée, non ?
83aaa885-8463-4e68-b436-1d5be6c94065|Je vais la trouver.
a880beed-3b05-4a9e-9619-0f7eadb79e3c|Désolé, je suis nerveux.
4ada272b-654d-4321-ae4c-5a2378b06fb4|Considère que c'est fait.
ce360296-deb4-4c4b-9e50-b17b3feda14f|Oh, bébé !
3d52adb7-5009-4651-a17f-cd652d3a3b86|Merde. Crotte. Flute.
ef595f37-e3c4-484a-9a18-e2bed25c7d03|Tu parles bien de la mienne, hein ?
c583613c-a588-4296-af4f-4d3a43e671ac|Ca serait un vrai plaisir si tu enlevais ton haut.
c4b07ce5-8fd0-469d-b7f1-f60f337cc29f|Ca serait un vrai plaisir si tu t'agenouillais devant moi.
ab3b1477-f345-4de7-9629-2e82151e2351|Héhéhé. Sympa.
30c59d6d-c591-4c74-ba2f-f3b968336a0a|Je suis tellement désolé !
0fc01b16-df46-4438-9ccd-dece98aee534|Attends, ne me frappe pas !
8b1c3a4f-3f27-4e41-a876-7cd8cf5efba8|Allonge-toi sur le lit et laisse-moi te donner du plaisir.
4b998c54-1664-458e-8609-cfbe6c68e3b9|Bien sûr.
e59ee708-5f01-40fa-ac19-0fe5947acdc0|Hum. Hé, reviens au lit.
70f2c830-46ca-4b9e-ac89-d4652cf7bce8|Je suis toujours prêt. Ils appellent ma bite Lou Diamond Phillips, car elle peut toujours se lever et s'exécuter.
b45c3874-469d-4d06-af86-dd3509ee996e|Ce n'était pas moi.
08b94ea4-a285-407b-8723-26965856fae1|Deuxième round, DING DING.
52187439-0697-41ca-8062-82b68e81f3ad|Ca marche, j'ai retrouvé la clé !
1447651f-1d7b-479c-b648-d89c00a3ac56|L'alcool est toujours sous clé, non ?
a391573a-cf16-4f13-83e0-a9eed4584650|Attends, je voulais te demander... Est-ce que tu ne préfèrerais pas aller à l'étage pour... Tu sais...
938786cf-636e-4d1a-a5b2-baa4b640906a|Hum.
7cc4ba52-53db-46c8-bf4f-a03f6020aeec|Dans ce cas, ok.
d0467585-58fd-43d2-9829-83a0ed12b220|Volontiers *Bois une gorgée*
e877cbe9-9f35-416b-96d7-6c29c101ac12|Quelle compétition ?
5056c927-667b-4c97-b807-cf79f0953b62|Il faut absolument que tu me fasses une démonstration de quelques mouvements de lutte un jour.
e199d007-ba06-436f-8859-0483534bfbfe|Il faut absolument que tu me fasses une démonstration un de ces jours.
d45cea37-3877-46cc-ac80-e2eb463ee3e5|Allez, tu ne peux pas me faire de mal. 
229b4963-14b0-4548-bdd5-f737467f7bbb|*Vous buvez* Ok, je suis prêt.
c8c2002c-2cd9-4acc-bf69-e4599f1a2c89|MMMFFPPHH ! MPH-MA-MAFPH !
d78e716a-3cbb-4e0b-b938-7f2b5ad8f0af|*Vous retournez Brittney*
468abbe6-1ba2-4cf4-89e2-1d7c51ae36d9|Tu vas voir ce que tu vas prendre !
1aa65092-5a82-4bcb-837b-bd1dcbb724e0|Youpi !
