[General]
Name|Stephanie
36|Ben merde alors, pourquoi la musique s'est-elle arrêtée ? Si seulement je savais comment utiliser ces machins électroniques... Maintenant, va falloir que je demande à Madison de le rallumer.
37|Waouh, trop génial ! Danser sur cette musique dehors est encore mieux que de danser dans le salon !

[Responses]
147d229d-9585-4788-8b2a-e924a24abc3b|Du gaz hilarant ? Tu veux vraiment te comporter comme en maternelle ?
c393da1b-08b7-46f9-b238-61b9fbf4d34f|Hum. Je vais voir ce que je peux faire. Mais qu'est-ce que j'y gagne ?
b3ca046a-02a3-4e16-ab0f-de0cb405a9ee|Désolé.
7d3f1745-645f-4896-9822-9e60a0f58aaf|On ne peut pas vraiment lui en vouloir, mais ouais, je vois ce que tu veux dire.
554ce4eb-2d90-4937-85c6-78e021f2ebb1|C'est bon à savoir, Stephanie. C'est toujours bon à savoir.
28ef699b-b316-4417-b0a7-b76d953e7c35|Je suis entièrement d'accord avec toi.
c30b4fc2-4f33-4b74-aa6d-1edbed441327|De rien !
b480133c-1a01-4101-8965-c4dea0fe4710|Ravi que ça te plaise !
e2b11b68-4b32-4678-971e-cb12fa26136d|Tu devrais peut-être y aller mollo... Et puis merde. Fait comme tu veux après tout.
aa273070-c9a1-44f6-b170-a37a0e8623dc|Ta danse m'a rendu tout chose...
f83b26df-bc72-49dd-b6e1-50291f169548|Mouais. Cette réponse ne te ressemble pas du tout.
81de3d93-dbd1-4672-bee5-9fc365f406d7|On est en 2017. Tout le monde a un téléphone, Stephanie.
50ff4c0c-c5fc-4399-9efc-aa6a34507150|Sérieusement ?  Non, je ne suis pas un gigolo !  Pour qui me prends-tu ?
50667022-a61b-4129-be0a-1dfacff6788e|Euh... Pour toi, je fais le prix d'ami : 50 balles. A prendre ou à laisser.
a1b75925-bbec-4ae7-83a7-53ecd03a01f0|Je ne sais pas encore si je devrais être content ou non...
98189443-b55b-4c38-9f87-9d95d4450bff|Je ne pensais pas que ça serait aussi simple...
3cb827ba-7f83-4291-b76f-325937223080|Je suppose que ce n'est pas la pire des manières pour gagner 50 balles...
1a0bc54b-a5df-46b2-a942-a3b841af7cee|Mrph ermf mmmp eramanguph !
e09e958c-e2b3-4ac5-a128-bf725ed58fd8|Je fais aussi les mariages et les bar-mitsvas.
25d318fd-3564-4e55-b353-6f0192d51745|Euh... Les deux ?
a5cc50cc-51f2-4e71-ba33-b2f55346e66c|Oh, en fait c'est juste un concours de signatures. La plus jolie de signatures gagne.
0167950c-5651-4f80-a331-6859844575ae|Si tu signes, Derek sera obligé d'enlever sa chemise.
f2527f70-a5bd-493b-accf-b8d46748faa3|Bien sûr. Je te ferai savoir si tu as gagné.
bfad2150-6aae-4a7a-9206-3286b5f19481|L'attention. Merci quand même, Stephanie.
0a0eed26-2089-416e-9559-ef802852431f|(Continuer)
f742a2f9-9fef-4d19-9e90-cfcbfdc61da0|C'est pas faux !
3e520cdf-71b0-4b6f-9f02-62a4c22da340|Au fait, comment as-tu connu Madison ?
ffebf515-e80c-4fe5-a11a-153985619c95|Katherine semble sympa.
07beb9cd-002c-40ca-99a9-5ddc2a52c5f0|Ravi de faire ta connaissance, Stephanie !
9f83575c-3fba-442c-8d69-4ccfce2b4939|J'ai l'impression que tu t'amuses bien.
ef48aacc-c9f8-4cc1-a685-4c7a86cf9040|Tu danses super bien, j'adore ton style !
a0152de5-a0c2-437e-8504-8b2a9cb710bd|Eh bien, tu t'éclates vraiment sur cette piste de danse !
a797561c-f19d-46c4-96a1-c753648fc5bf|Alors, que dirais-tu d'animer encore plus cette soirée en dansant seins nus ?
42f9ff5b-b2da-4804-b1ae-77f0c7f63ca5|Au fait, soit prudente, on peut voir ta culotte quand tu tournes comme ça.
ce280680-aacc-4b2c-81ef-e9785642e16a|Ou puis-je trouver du "Gaz hilarant" ?
11530280-7325-481e-b0a2-dfb626fec636|Par pur hasard, tu ne saurais pas où se trouve le téléphone de Patrick ?
31cc9f0a-104a-436c-bcf5-be2a4d4e5788|Tu ne saurais pas qui pourrait me refourguer un joint ?
be7eda8a-0b2b-49d1-a850-1f630a9bbde4|Au fait, euh... Est-ce que tu veux de mon aide pour ça ?
72246de3-9bd2-4957-9124-3244b429cacb|Est-ce que je peux avoir mes 50 balles maintenant ?
a2aac305-f044-4364-8838-a2c71ce803a2|Ah, Stéphanie ! Est-ce que tu veux bien signer ma pétition ?
92936248-74da-4eba-ac33-a15695b5c5cd|Nous devrions aller nous détendre dans le jacuzzi !
efc8aeb4-4115-4d8c-8f0c-afee90eafa82|J'ai improvisé une piste de dance à l'extérieur près du jacuzzi !
d77db943-09b1-4ec1-978e-8ee2d6631609|A plus, Stephanie.

[Quests]
85b39753-8e78-494d-ac0a-455e4e4a9a3e|A la recherche de gaz hilarant !
85b39753-8e78-494d-ac0a-455e4e4a9a3eDescription|Stephanie veut que vous lui trouviez de la crème fouettée et en échange, elle vous montrera de nouveaux mouvements de danse.
7c6a6d68-a46a-4dc1-b586-b112c5b88cbe|Abaissons certaines inhibitions
7c6a6d68-a46a-4dc1-b586-b112c5b88cbeDescription|Stephanie a promis qu'en échange de boissons alcoolisées, elle acceptera de danser seins nus. Il faut lui dégoter de l'alcool !

[Events]
